Date,Symbol,Close,Volume
2024-01-31,VRSN,198.88,705900.0
2024-02-01,VRSN,200.25,546100.0
2024-02-02,VRSN,199.6,427500.0
2024-02-05,VRSN,198.35,556500.0
2024-02-06,VRSN,198.71,513700.0
2024-02-07,VRSN,200.28,864100.0
2024-02-08,VRSN,201.02,789700.0
2024-02-09,VRSN,198.38,1484800.0
2024-02-12,VRSN,195.84,1140100.0
2024-02-13,VRSN,194.51,653900.0
2024-02-14,VRSN,195.33,586100.0
2024-02-15,VRSN,197.82,605400.0
2024-02-16,VRSN,194.24,583700.0
2024-02-20,VRSN,192.23,569300.0
2024-02-21,VRSN,192.78,519200.0
2024-02-22,VRSN,194.27,635300.0
2024-02-23,VRSN,196.56,398700.0
2024-02-26,VRSN,193.02,548500.0
2024-02-27,VRSN,193.56,503800.0
2024-02-28,VRSN,194.41,363400.0
2024-02-29,VRSN,195.29,964300.0
2024-03-01,VRSN,195.23,586400.0
2024-03-04,VRSN,192.18,664000.0
2024-03-05,VRSN,191.37,683700.0
2024-03-06,VRSN,191.34,572500.0
2024-03-07,VRSN,192.65,668000.0
2024-03-08,VRSN,191.02,610200.0
2024-03-11,VRSN,192.83,546400.0
2024-03-12,VRSN,191.98,623300.0
2024-03-13,VRSN,191.17,447400.0
2024-03-14,VRSN,190.58,635400.0
2024-03-15,VRSN,190.25,936400.0
2024-03-18,VRSN,190.13,433000.0
2024-03-19,VRSN,192.25,467200.0
2024-03-20,VRSN,189.89,496900.0
2024-03-21,VRSN,190.82,420300.0
2024-03-22,VRSN,188.85,491600.0
2024-03-25,VRSN,187.19,653700.0
2024-03-26,VRSN,187.1,374700.0
2024-03-27,VRSN,189.1,491500.0
2024-03-28,VRSN,189.51,618100.0
2024-04-01,VRSN,189.34,788700.0
2024-04-02,VRSN,191.42,831400.0
2024-04-03,VRSN,188.97,607800.0
2024-04-04,VRSN,187.03,607100.0
2024-04-05,VRSN,187.82,458600.0
2024-04-08,VRSN,187.17,708900.0
2024-04-09,VRSN,189.69,655800.0
2024-04-10,VRSN,188.31,662600.0
2024-04-11,VRSN,189.78,605500.0
2024-04-12,VRSN,185.43,484100.0
2024-04-15,VRSN,183.2,609500.0
2024-04-16,VRSN,182.63,556500.0
2024-04-17,VRSN,181.57,520800.0
2024-04-18,VRSN,182.96,594400.0
2024-04-19,VRSN,184.12,609300.0
2024-04-22,VRSN,184.74,564600.0
2024-04-23,VRSN,185.12,726700.0
2024-04-24,VRSN,185.55,686600.0
2024-04-25,VRSN,182.68,1649700.0
2024-04-26,VRSN,175.48,1931500.0
2024-04-29,VRSN,175.11,1266700.0
2024-04-30,VRSN,169.48,1393500.0
2024-05-01,VRSN,171.08,1382600.0
2024-05-02,VRSN,168.34,959900.0
2024-05-03,VRSN,168.32,898100.0
2024-05-06,VRSN,168.91,666200.0
2024-05-07,VRSN,169.56,734000.0
2024-05-08,VRSN,168.56,546200.0
2024-05-09,VRSN,169.79,724000.0
2024-05-10,VRSN,171.23,613400.0
2024-05-13,VRSN,171.09,666600.0
2024-05-14,VRSN,169.73,680300.0
2024-05-15,VRSN,169.25,994900.0
2024-05-16,VRSN,170.96,894900.0
2024-05-17,VRSN,170.75,676400.0
2024-05-20,VRSN,172.62,483100.0
2024-05-21,VRSN,174.22,784300.0
2024-05-22,VRSN,175.07,709700.0
2024-05-23,VRSN,172.0,637200.0
2024-05-24,VRSN,171.17,721600.0
2024-05-28,VRSN,171.05,964500.0
2024-05-29,VRSN,170.81,711900.0
2024-05-30,VRSN,169.58,702200.0
2024-05-31,VRSN,174.32,1341100.0
2024-06-03,VRSN,174.93,705500.0
2024-06-04,VRSN,178.79,766200.0
2024-06-05,VRSN,180.78,641200.0
2024-06-06,VRSN,180.3,630400.0
2024-06-07,VRSN,180.46,462200.0
2024-06-10,VRSN,180.13,494200.0
2024-06-11,VRSN,181.99,632900.0
2024-06-12,VRSN,180.06,568100.0
2024-06-13,VRSN,179.7,485800.0
2024-06-14,VRSN,180.31,480900.0
2024-06-17,VRSN,178.29,874200.0
2024-06-18,VRSN,178.2,955100.0
2024-06-20,VRSN,180.89,608000.0
2024-06-21,VRSN,181.69,1130900.0
2024-06-24,VRSN,180.0,640500.0
